iter	Passed	Remaining
354	232280	6310826
355	232859	6308141
356	233514	6307511
357	234067	6304133
358	234609	6300482
359	235158	6297028
360	235953	6300142
361	236596	6299208
362	237174	6296548
363	237796	6295061
364	238517	6296216
365	239098	6293640
366	239918	6297364
367	240467	6293982
368	241125	6293450
369	241639	6289149
370	242194	6285966
371	242779	6283543
372	243355	6280932
373	243927	6278206
374	244492	6275311
375	245208	6276289
376	245818	6274565
377	246430	6272882
378	247137	6273649
379	247706	6270881
380	248288	6268478
381	248949	6268063
382	249532	6265667
383	250187	6265112
384	250783	6263070
385	251317	6259504
386	251869	6256386
387	252496	6255148
388	253123	6253913
389	253801	6253931
390	254414	6252359
391	255155	6253902
392	255971	6257291
393	256582	6255666
394	257151	6253010
395	257737	6250796
396	258321	6248518
397	259015	6248908
398	259640	6247649
399	260202	6244858
400	260739	6241492
401	261273	6238065
402	261795	6234380
403	262458	6234040
404	263208	6235766
405	263786	6233429
406	264356	6230888
407	264893	6227589
408	265543	6226962
409	266161	6225592
410	266871	6226354
411	267521	6225709
412	268256	6227063
413	268887	6225986
414	269439	6223070
415	270122	6223214
416	270748	6222026
417	271461	6222826
418	272112	6222227
419	272822	6222951
420	273399	6220658
421	274080	6220715
422	274729	6220049
423	275297	6217564
424	276028	6218755
425	276731	6219315
426	277308	6217043
427	277935	6215879
428	278499	6213329
429	279052	6210542
430	279626	6208220
431	280260	6207248
432	280879	6205946
433	281523	6205197
434	282213	6205463
435	282857	6204700
436	283379	6201281
437	284113	6202504
438	284729	6201131
439	285421	6201426
440	286216	6203959
441	286797	6201836
442	287455	6201386
443	288111	6200878
444	288692	6198777
445	289237	6195909
446	289871	6194947
447	290480	6193468
448	291183	6193976
449	291908	6194947
450	292606	6195342
451	293166	6192813
452	293714	6190040
453	294304	6188173
454	294981	6188131
455	295732	6189638
456	296441	6190242
457	297006	6187841
458	297633	6186748
459	298197	6184358
460	298748	6181690
461	299482	6182832
462	300157	6182725
463	300744	6180826
464	301370	6179718
465	301904	6176742
466	302541	6175872
467	303240	6176249
468	303809	6174004
469	304445	6173111
470	305116	6172941
471	305724	6171489
472	306279	6168982
473	306965	6169090
474	307481	6165815
475	308078	6164167
476	308723	6163474
477	309420	6163813
478	310147	6164747
479	310672	6161668
480	311240	6159460
481	311823	6157546
482	312425	6156016
483	313043	6154794
484	313547	6151349
485	314273	6152262
486	314932	6151849
487	315531	6150276
488	316188	6149842
489	316803	6148571
490	317429	6147532
491	318058	6146552
492	318781	6147372
493	319326	6144765
494	319907	6142874
495	320487	6140952
496	321112	6139899
497	321702	6138181
498	322361	6137792
499	323034	6137652
500	323674	6136894
501	324284	6135565
502	324879	6133954
503	325561	6133999
504	326143	6132147
505	326687	6129596
506	327362	6129495
507	328048	6129596
508	328682	6128736
509	329278	6127156
510	329850	6125141
511	330498	6124543
512	331117	6123415
513	331708	6121756
514	332317	6120441
515	332958	6119731
516	333758	6121914
517	334281	6119034
518	334869	6117342
519	335417	6114920
520	335979	6112757
521	336580	6111330
522	337155	6109410
523	337750	6107862
524	338446	6108162
525	339018	6106195
526	339620	6104788
527	340281	6104442
528	340873	6102854
529	341598	6103658
530	342212	6102462
531	342846	6101630
532	343411	6099573
533	343967	6097362
534	344766	6099464
535	345562	6101493
536	346283	6102203
537	346915	6101335
538	347637	6102033
539	348263	6101067
540	348925	6100713
541	349513	6099083
542	350103	6097472
543	350882	6099155
544	351573	6099315
545	352333	6100655
546	352910	6098826
547	353577	6098566
548	354126	6096258
549	354664	6093783
550	355280	6092643
551	355834	6090439
552	356517	6090455
553	357177	6090061
554	357796	6088995
555	358395	6087562
556	359067	6087392
557	359745	6087301
558	360443	6087563
559	361009	6085587
560	361620	6084382
561	362162	6082008
562	362734	6080146
563	363296	6078131
564	363924	6077208
565	364487	6075216
566	365165	6075147
567	365863	6075395
568	366431	6073485
569	366992	6071467
570	367664	6071285
571	368288	6070317
572	368902	6069185
573	369548	6068584
574	370053	6065660
575	370767	6066174
576	371434	6065907
577	372074	6065193
578	372678	6063916
579	373316	6063169
580	374063	6064202
581	374752	6064295
582	375482	6065036
583	376079	6063639
584	376701	6062642
585	377243	6060351
586	377878	6059572
